,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_low_used,ote_high_used,4h_trend,1h_trend
0,2015-01-05,long,2015-01-05 09:04:00-05:00,1193.72,1193.143252618567,1195.6462002892529,2015-01-05 09:07:00-05:00,1195.6462002892529,tp,333.9764256001983,3.339764256001983,1193.31,1198.68,Uptrend,Uptrend
1,2015-01-08,short,2015-01-08 09:52:00-05:00,1213.39,1213.9245463535235,1211.6047411953266,2015-01-08 09:54:00-05:00,1213.9245463535235,sl,-100.0,-1.0,1210.51,1213.01,Downtrend,Uptrend
2,2015-01-09,long,2015-01-09 11:48:00-05:00,1215.53,1212.1679847765254,1226.7583382714952,2015-01-09 12:00:00-05:00,1216.23,close,20.820845637831596,0.0,1213.14,1220.8,Uptrend,Uptrend
3,2015-01-14,short,2015-01-14 10:25:00-05:00,1239.83,1241.3633040140535,1234.7091260602795,2015-01-14 12:00:00-05:00,1238.41,close,92.61046648184454,0.0,1235.1,1240.92,Downtrend,Downtrend
4,2015-01-22,short,2015-01-22 10:22:00-05:00,1301.2,1304.8855564374492,1288.891110346729,2015-01-22 11:25:00-05:00,1304.8855564374492,sl,-100.0,-1.0,1292.61,1303.82,Downtrend,Uptrend
5,2015-01-27,short,2015-01-27 08:33:00-05:00,1283.31,1284.3931597163496,1279.6925018957943,2015-01-27 08:34:00-05:00,1284.3931597163496,sl,-100.0,-1.0,1279.93,1284.08,Downtrend,Downtrend
6,2015-01-28,short,2015-01-28 09:09:00-05:00,1286.63,1287.094211307007,1285.0796436696266,2015-01-28 09:18:00-05:00,1285.0796436696266,tp,333.9764256001216,3.339764256001216,1284.83,1286.96,Downtrend,Uptrend
7,2015-01-30,long,2015-01-30 08:48:00-05:00,1263.69,1263.1835876650832,1265.381297814954,2015-01-30 08:52:00-05:00,1265.381297814954,tp,333.97642560023843,3.3397642560023844,1263.33,1266.57,Uptrend,Uptrend
8,2015-02-03,long,2015-02-03 09:34:00-05:00,1265.55,1263.7634898184883,1271.5165228471965,2015-02-03 09:42:00-05:00,1263.7634898184883,sl,-100.0,-1.0,1264.28,1269.66,Uptrend,Downtrend
9,2015-02-04,long,2015-02-04 11:24:00-05:00,1261.64,1260.7678454231989,1264.5527906813093,2015-02-04 12:00:00-05:00,1264.17,close,290.0861919774802,0.0,1261.02,1266.51,Uptrend,Downtrend
10,2015-02-05,long,2015-02-05 11:18:00-05:00,1258.26,1258.0630618697544,1258.9177269280378,2015-02-05 11:18:00-05:00,1258.9177269280378,tp,333.9764256000626,3.339764256000626,1258.4,1263.13,Uptrend,Uptrend
11,2015-02-11,short,2015-02-11 08:52:00-05:00,1234.47,1234.751340186065,1233.5303901028035,2015-02-11 09:04:00-05:00,1233.5303901028035,tp,333.9764256002325,3.3397642560023253,1232.13,1234.67,Downtrend,Downtrend
12,2015-02-17,long,2015-02-17 12:00:00-05:00,1206.03,1182.8897696961674,1283.3129140443957,2015-02-17 12:00:00-05:00,1206.58,close,2.376812990961723,0.0,1222.48,1225.04,Uptrend,Uptrend
13,2015-02-23,short,2015-02-23 09:35:00-05:00,1200.73,1202.2070359768404,1195.7970480397196,2015-02-23 09:50:00-05:00,1202.2070359768404,sl,-99.99999999999999,-0.9999999999999999,1197.53,1201.78,Downtrend,Uptrend
14,2015-02-24,long,2015-02-24 11:30:00-05:00,1193.19,1189.0261652462405,1207.0962264785055,2015-02-24 12:00:00-05:00,1192.43,close,-18.25240541339382,0.0,1190.23,1202.84,Uptrend,Uptrend
15,2015-02-25,short,2015-02-25 08:01:00-05:00,1209.59,1210.1245463535229,1207.8047411953276,2015-02-25 08:13:00-05:00,1210.1245463535229,sl,-100.0,-1.0,1206.69,1209.21,Downtrend,Downtrend
16,2015-02-25,long,2015-02-25 12:00:00-05:00,1203.32,1202.0961701906178,1207.4073030528043,2015-02-25 12:00:00-05:00,1203.32,close,0.0,0.0,1204.19,1206.8,Uptrend,Downtrend
17,2015-02-26,short,2015-02-26 09:49:00-05:00,1212.27,1212.5935412139745,1211.189448618224,2015-02-26 09:57:00-05:00,1211.189448618224,tp,333.97642560028424,3.3397642560028427,1210.34,1212.5,Downtrend,Downtrend
18,2015-02-27,short,2015-02-27 08:00:00-05:00,1209.93,1211.1538298093822,1205.8426969471957,2015-02-27 09:13:00-05:00,1211.1538298093822,sl,-100.0,-1.0,1207.7,1209.06,Downtrend,Uptrend
19,2015-03-03,short,2015-03-03 09:11:00-05:00,1208.06,1209.5370359768403,1203.1270480397195,2015-03-03 09:16:00-05:00,1209.5370359768403,sl,-99.99999999999999,-0.9999999999999999,1205.29,1209.11,Downtrend,Downtrend
20,2015-03-05,short,2015-03-05 09:12:00-05:00,1203.75,1205.2411029861435,1198.7700675448598,2015-03-05 10:29:00-05:00,1205.2411029861435,sl,-99.99999999999999,-0.9999999999999999,1201.07,1204.81,Downtrend,Uptrend
21,2015-03-06,short,2015-03-06 08:13:00-05:00,1196.95,1197.836221586104,1193.9902288238322,2015-03-06 08:30:00-05:00,1193.9902288238322,tp,333.9764256002088,3.339764256002088,1194.61,1197.58,Downtrend,Downtrend
22,2015-03-06,long,2015-03-06 12:00:00-05:00,1171.41,1165.0376447856318,1192.6921641714962,2015-03-06 12:00:00-05:00,1171.41,close,0.0,0.0,1175.94,1179.96,Uptrend,Downtrend
23,2015-03-10,short,2015-03-10 09:22:00-04:00,1167.5428881358703,1168.8048562297465,1163.3282122037274,2015-03-10 09:31:00-04:00,1168.8048562297465,sl,-100.0,-1.0,1165.67,1168.44,Downtrend,Downtrend
24,2015-03-12,long,2015-03-12 09:00:00-04:00,1156.6,1155.8122474790184,1159.2309077121492,2015-03-12 09:13:00-04:00,1159.2309077121492,tp,333.9764256001884,3.339764256001884,1156.04,1161.29,Uptrend,Downtrend
25,2015-03-13,long,2015-03-13 09:57:00-04:00,1156.04,1155.983731962787,1156.227921979439,2015-03-13 09:57:00-04:00,1155.983731962787,sl,-100.0,-1.0,1156.08,1156.79,Uptrend,Downtrend
26,2015-03-16,long,2015-03-16 09:00:00-04:00,1153.8,1150.663056925377,1164.276650353739,2015-03-16 10:55:00-04:00,1150.663056925377,sl,-100.0,-1.0,1156.03,1157.65,Uptrend,Downtrend
27,2015-03-17,long,2015-03-17 08:10:00-04:00,1152.19,1151.782056730206,1153.5524343509346,2015-03-17 08:23:00-04:00,1151.782056730206,sl,-100.0,-1.0,1152.48,1153.68,Uptrend,Downtrend
28,2015-03-20,short,2015-03-20 09:17:00-04:00,1174.21,1175.4619638279883,1170.028735957477,2015-03-20 09:19:00-04:00,1175.4619638279883,sl,-100.0,-1.0,1169.77,1175.1,Downtrend,Uptrend
