,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_high_used,ote_low_used,4h_trend,1h_trend
0,2016-01-05,short,2016-01-05 08:09:00-05:00,1081.76,1081.896157136067,1081.111392195434,2016-01-05 08:09:00-05:00,1081.111392195434,tp,476.3671029678347,4.763671029678346,1081.89,1079.0,,Downtrend
1,2016-01-05,long,2016-01-05 10:40:00-05:00,1076.61,1076.3481593537176,1077.8573227010872,2016-01-05 10:42:00-05:00,1076.3481593537176,sl,-100.0,-1.0,1079.33,1076.36,,Uptrend
2,2016-01-06,short,2016-01-06 11:17:00-05:00,1090.05,1091.4429922382214,1083.414243230215,2016-01-06 12:00:00-05:00,1090.85,close,-57.43032717980939,0.0,1091.38,1086.24,Uptrend,Downtrend
3,2016-01-07,short,2016-01-07 07:50:00-05:00,1099.17,1099.6622604150107,1096.825033321956,2016-01-07 07:51:00-05:00,1099.6622604150107,sl,-100.0,-1.0,1099.64,1097.69,Uptrend,Uptrend
4,2016-01-08,short,2016-01-08 08:42:00-05:00,1098.0046368775531,1100.3877670795857,1086.6521885741745,2016-01-08 08:52:00-05:00,1100.3877670795857,sl,-100.0,-1.0,1100.28,1091.69,Uptrend,Uptrend
5,2016-01-12,long,2016-01-12 09:37:00-05:00,1086.4593341582986,1085.213670059681,1092.393268137596,2016-01-12 09:40:00-05:00,1085.213670059681,sl,-100.0,-1.0,1089.76,1085.27,Downtrend,Uptrend
6,2016-01-13,short,2016-01-13 10:31:00-05:00,1087.3008251781146,1087.8445894616982,1084.7105110134323,2016-01-13 10:41:00-05:00,1087.8445894616982,sl,-100.0,-1.0,1087.82,1085.86,Uptrend,Uptrend
7,2016-01-14,long,2016-01-14 08:28:00-05:00,1085.46,1084.8944242040304,1088.1542170343482,2016-01-14 08:49:00-05:00,1084.8944242040304,sl,-100.0,-1.0,1087.19,1084.92,Downtrend,Downtrend
8,2016-01-20,short,2016-01-20 09:42:00-05:00,1101.15,1101.6003659116052,1099.0046049541309,2016-01-20 09:50:00-05:00,1101.6003659116052,sl,-100.0,-1.0,1101.58,1097.15,Uptrend,Uptrend
9,2016-01-25,short,2016-01-25 08:29:00-05:00,1106.1,1106.7493648027798,1103.006639701303,2016-01-25 08:31:00-05:00,1106.7493648027798,sl,-100.0,-1.0,1106.72,1103.06,Downtrend,Uptrend
10,2016-01-26,long,2016-01-26 10:51:00-05:00,1115.93,1115.6053175986099,1117.476680149349,2016-01-26 10:54:00-05:00,1117.476680149349,tp,476.36710296786754,4.763671029678675,1117.27,1115.62,Downtrend,Uptrend
11,2016-01-27,short,2016-01-27 10:33:00-05:00,1116.66,1117.162734040862,1114.2651404139126,2016-01-27 11:36:00-05:00,1117.162734040862,sl,-100.0,-1.0,1117.14,1114.85,Uptrend,Uptrend
12,2016-01-28,short,2016-01-28 08:40:00-05:00,1121.36,1122.0407856803338,1118.1169609771725,2016-01-28 08:44:00-05:00,1122.0407856803338,sl,-100.0,-1.0,1122.01,1118.14,Downtrend,Downtrend
13,2016-01-28,long,2016-01-28 11:34:00-05:00,1114.62,1114.0125297006252,1117.5137886665218,2016-01-28 12:00:00-05:00,1115.83,close,199.18669295365422,0.0,1116.84,1114.04,Downtrend,Uptrend
14,2016-01-29,short,2016-01-29 09:06:00-05:00,1114.87,1115.3936812925642,1112.3753545978254,2016-01-29 09:49:00-05:00,1112.3753545978254,tp,476.36710296806945,4.763671029680695,1115.37,1113.05,Uptrend,Uptrend
15,2016-02-01,long,2016-02-01 09:29:00-05:00,1123.96,1123.8447901156358,1124.508821988479,2016-02-01 09:30:00-05:00,1124.508821988479,tp,476.36710296805524,4.763671029680553,1126.06,1123.85,Uptrend,Uptrend
16,2016-02-01,short,2016-02-01 11:02:00-05:00,1126.58,1126.7475780136206,1125.7817134713036,2016-02-01 11:10:00-05:00,1126.7475780136206,sl,-99.99999999999999,-0.9999999999999999,1126.74,1125.66,Uptrend,Downtrend
17,2016-02-03,short,2016-02-03 09:49:00-05:00,1130.982438074911,1133.1269778259834,1120.7665561907295,2016-02-03 10:00:00-05:00,1133.1269778259834,sl,-100.0,-1.0,1133.03,1125.3,Uptrend,Uptrend
18,2016-02-04,short,2016-02-04 09:46:00-05:00,1154.59,1155.3859955646979,1150.7981389886947,2016-02-04 10:00:00-05:00,1155.3859955646979,sl,-100.0,-1.0,1155.35,1152.1,Downtrend,Uptrend
19,2016-02-05,short,2016-02-05 09:33:00-05:00,1148.06,1149.0340472041698,1143.4199595519551,2016-02-05 09:48:00-05:00,1149.0340472041698,sl,-100.0,-1.0,1148.99,1145.21,Uptrend,Uptrend
20,2016-02-05,long,2016-02-05 10:05:00-05:00,1147.22,1146.3716363060457,1151.2613255515223,2016-02-05 10:29:00-05:00,1151.2613255515223,tp,476.3671029679859,4.763671029679859,1149.85,1146.41,Uptrend,Uptrend
21,2016-02-08,short,2016-02-08 08:44:00-05:00,1182.09,1182.3518406462822,1180.8426772989126,2016-02-08 08:45:00-05:00,1182.3518406462822,sl,-100.0,-1.0,1182.34,1178.11,Uptrend,Uptrend
22,2016-02-09,short,2016-02-09 08:27:00-05:00,1196.31,1197.1897845715082,1192.1189957243462,2016-02-09 08:35:00-05:00,1197.1897845715082,sl,-100.0,-1.0,1197.15,1193.93,Uptrend,Downtrend
23,2016-02-10,short,2016-02-10 09:21:00-05:00,1190.1417347737772,1191.5538573265533,1183.4148474787603,2016-02-10 09:28:00-05:00,1191.5538573265533,sl,-100.00000000000001,-1.0000000000000002,1191.49,1186.4,Uptrend,Uptrend
24,2016-02-12,long,2016-02-12 09:20:00-05:00,1234.92,1233.9145319182765,1239.7097191721753,2016-02-12 09:24:00-05:00,1233.9145319182765,sl,-100.0,-1.0,1237.89,1233.96,Uptrend,Uptrend
25,2016-02-17,short,2016-02-17 11:02:00-05:00,1210.7996578481157,1211.7845370352188,1206.1080173967773,2016-02-17 11:13:00-05:00,1211.7845370352188,sl,-100.0,-1.0,1211.74,1208.19,Uptrend,Uptrend
